"birthPlace","highSchool","name","position","Posiciones","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo","PosicionesCenter","PosicionesForward","PosicionesGuard","PosicionesPoint","PosicionesPower","PosicionesShooting","PosicionesSmall"
259,105,404,"Center",1,2,1980,9,12,213.36,182.88,139.5,1,0,0,0,0,0,0
140,79,96,"Point Guard",4,2,1961,1,17,182.88,91.44,81,0,0,0,1,0,0,0
214,105,283,"Power Forward",5,2,1991,2,11,182.88,304.8,112.5,0,0,0,0,1,0,0
55,75,271,"Center",1,2,1977,9,5,182.88,304.8,99.45,1,0,0,0,0,0,0
254,105,345,"Small Forward",7,2,1983,4,15,182.88,243.84,99,0,0,0,0,0,0,1
122,17,233,"Shooting Guard",6,2,1998,2,4,182.88,91.44,90,0,0,0,0,0,1,0
55,105,219,"Forward",2,2,1948,7,26,182.88,213.36,96.75,0,1,0,0,0,0,0
111,82,311,"Center and Power Forward",1,2,1986,1,2,182.88,304.8,119.7,1,0,0,0,0,0,0
124,105,98,"Power Forward",5,1,1990,9,20,213.36,0,99.9,0,0,0,0,1,0,0
269,105,370,"Center",1,2,1986,7,16,213.36,30.48,123.75,1,0,0,0,0,0,0
127,118,112,"Point Guard",4,2,1996,3,5,182.88,152.4,90,0,0,0,1,0,0,0
282,105,131,"Center",1,2,1971,2,14,213.36,213.36,136.35,1,0,0,0,0,0,0
208,138,184,"Forward",2,2,1924,9,13,182.88,60.96,78.75,0,1,0,0,0,0,0
128,107,162,"Shooting Guard and Point Guard",6,2,1997,2,23,182.88,121.92,93.15,0,0,0,0,0,1,0
23,105,105,"Shooting Guard",6,2,1999,5,8,182.88,274.32,93.6,0,0,0,0,0,1,0
273,105,247,"Power Forward",5,2,1974,9,26,182.88,274.32,105.75,0,0,0,0,1,0,0
67,105,48,"Center",1,2,1977,3,9,213.36,0,89.1,1,0,0,0,0,0,0
263,105,50,"Power Forward and Small Forward",5,2,1980,7,3,182.88,274.32,99.45,0,0,0,0,1,0,0
120,80,67,"Small Forward",7,2,1942,7,24,182.88,152.4,96.75,0,0,0,0,0,0,1
245,105,194,"Shooting Guard",6,2,1980,6,13,182.88,91.44,76.5,0,0,0,0,0,1,0
186,105,274,"Shooting Guard",6,2,1991,6,16,182.88,91.44,86.4,0,0,0,0,0,1,0
144,59,313,"Center",1,2,1976,5,30,213.36,0,111.6,1,0,0,0,0,0,0
21,105,317,"Point Guard",4,2,1992,5,19,182.88,30.48,80.55,0,0,0,1,0,0,0
248,105,22,"Small Forward and Power Forward",7,2,1979,11,30,182.88,213.36,101.25,0,0,0,0,0,0,1
155,159,277,"Power Forward and Center",5,2,1994,4,10,182.88,335.28,99,0,0,0,0,1,0,0
168,105,298,"Forward",2,2,1924,8,17,182.88,121.92,83.25,0,1,0,0,0,0,0
