"highSchool","name","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo"
"Arthur Hill in Saginaw, Michigan","Jason Richardson","Right","1981","01","20",182.88,182.88,99
"Zachary in Zachary, Louisiana","Jeremy Richardson","Right","1984","02","11",182.88,182.88,83.25
"Santa Fe in Edmond, Oklahoma","Josh Richardson","Right","1993","09","15",182.88,182.88,90
"Trenton Catholic Academy in Trenton, New Jersey","Malachi Richardson","Right","1996","01","05",182.88,182.88,92.25
"Manual in Denver, Colorado","Micheal Ray Richardson","Right","1955","04","11",182.88,152.4,85.05
"William E. Grady Career and Technical in Brooklyn, New York","Norm Richardson","Right","1979","07","24",182.88,152.4,85.5
"Benjamin Franklin in Philadelphia, Pennsylvania","Pooh Richardson","Right","1966","05","14",182.88,30.48,81
"Whitney Young in Chicago, Illinois","Quentin Richardson","Right","1980","04","13",182.88,182.88,100.35
"Boyd Anderson in Fort Lauderdale, Florida","Mitch Richmond","Right","1965","06","30",182.88,152.4,96.75
"Frankford in Philadelphia, Pennsylvania","John Richter","Right","1937","03","12",182.88,274.32,101.25
"Pottstown in Pottstown, Pennsylvania","Dick Ricketts","Right","1933","12","04",182.88,213.36,96.75
"Encinal in Alameda, California","Isaiah Rider","Right","1971","03","12",182.88,152.4,96.75
"Martin in Altheimer, Arkansas","Jackie Ridgle","Right","1948","02","13",182.88,121.92,87.75
"Blaine in Blaine, Washington","Luke Ridnour","Right","1981","02","13",182.88,60.96,78.75
"Euclid in Cleveland, Ohio","Mel Riebe","Right","1916","07","12",152.4,335.28,81
"Oak Hill Academy in Mouth of Wilson, Virginia","Bob Riedy","Right","1945","08","26",182.88,182.88,96.75
"Washington in Washington, Indiana","Jim Riffey","Right","1923","12","14",182.88,121.92,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Antoine Rigaudeau","Right","1971","12","17",182.88,213.36,94.5
"Saint Dominic in Oyster Bay, New York","Tom Riker","Right","1950","02","28",182.88,304.8,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Bob Riley","Right","1948","07","06",182.88,274.32,105.75
"St. Joseph in Cleveland, Ohio","Eric Riley","Right","1970","06","02",213.36,0,110.25
"Linton in Schenectady, New York","Pat Riley","Right","1945","03","20",182.88,121.92,92.25
"Jordan in Los Angeles, California","Ron Riley","Right","1950","11","11",182.88,243.84,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Rich Rinaldi","Right","1949","08","03",182.88,91.44,87.75
"Holy Cross in Flushing, New York","Mike Riordan","Left","1945","07","09",182.88,121.92,90
"Williamstown in Williamstown, Kentucky","Arnie Risen","Right","1924","10","09",182.88,274.32,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Tex Ritter","Right","1924","02","26",182.88,60.96,83.25
"Pedro Albizu in Carolina, Puerto Rico","Ramon Rivas","Right","1966","06","03",182.88,304.8,117
"Winter Park in Winter Park, Florida","Austin Rivers","Right","1992","08","01",182.88,121.92,90
"Saint Anthony's in Jersey City, New Jersey","David Rivers","Right","1965","01","20",182.88,0,76.5
"Proviso East in Maywood, Illinois","Doc Rivers","Right","1961","10","13",182.88,121.92,83.25
"Greeley in Greeley, Colorado","Lee Robbins","Right","1922","02","11",182.88,91.44,78.75
"Groveland in Groveland, Florida","Red Robbins","Right","1944","09","30",182.88,243.84,85.5
"Wagner in San Antonio, Texas","Andre Roberson","Right","1991","12","04",182.88,213.36,94.5
"Saginaw in Saginaw, Michigan","Anthony Roberson","Right","1983","02","14",182.88,60.96,81
"Mitchell in Memphis, Tennessee","Rick Roberson","Right","1947","07","07",182.88,274.32,103.95
"Buena Vista in Saginaw, Michigan","Terrance Roberson","Right","1976","12","30",182.88,213.36,96.75
"Riverside in Chattanooga, Tennessee","Anthony Roberts","Right","1955","04","15",182.88,152.4,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Bill Roberts","Right","1925","03","13",182.88,274.32,94.5
"Saint John's in Toledo, Ohio","Brian Roberts","Right","1985","12","03",182.88,30.48,77.85
"Bingham in South Jordan, Utah","Fred Roberts","Right","1960","08","14",182.88,304.8,98.1
"East in Columbus, Ohio","Joe Roberts","Right","1936","05","18",182.88,182.88,96.3
"Lamar in Houston, Texas","Lawrence Roberts","Right","1982","10","20",182.88,274.32,108
"Wingate in Brooklyn, New York","Marv Roberts","Right","1950","01","29",182.88,243.84,90
"Lower Richland in Hopkins, South Carolina","Stanley Roberts","Right","1970","02","07",213.36,0,128.25
"Barberton in Barberton, Ohio","Alvin Robertson","Right","1962","07","22",182.88,91.44,83.25
"Crispus Attucks in Indianapolis, Indiana","Oscar Robertson","Right","1938","11","24",182.88,152.4,92.25
"West in Saint Charles, Missouri","Ryan Robertson","Right","1976","10","02",182.88,152.4,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Tony Robertson","Right","1956","01","01",182.88,121.92,87.75
"Brother Martin in New Orleans, Louisiana","Rick Robey","Right","1956","01","30",182.88,335.28,103.5
"Dunbar in Washington, District of Columbia","Bernard Robinson","Left","1980","12","26",182.88,182.88,94.5
"Southwest in Macon, Georgia","Chris Robinson","Right","1974","04","02",182.88,152.4,90
"Castlemont in Oakland, California","Cliff Robinson","Right","1960","03","13",182.88,274.32,99
"Riverside in Buffalo, New York","Clifford Robinson","Right","1966","12","16",182.88,304.8,101.25
"Osbourn Park in Manassas, Virginia","David Robinson","Left","1965","08","06",213.36,30.48,105.75
"Christchurch School in Christchurch, Virginia","Devin Robinson","Right","1995","03","07",182.88,243.84,90
"Phillips Exeter Academy in Exeter, New Hampshire","Duncan Robinson","Right","1994","04","22",182.88,243.84,94.5
"Flint Northern in Flint, Michigan","Eddie Robinson","Right","1976","04","19",182.88,243.84,94.5
"Elgin in Elgin, Illinois","Flynn Robinson","Right","1941","04","28",182.88,30.48,83.25
"Roosevelt in Gary, Indiana","Glenn Robinson","Right","1973","01","10",182.88,213.36,101.25
"Lake Central in St. John, Indiana","Glenn Robinson III","Right","1994","01","08",182.88,182.88,99.9
"Morningside in Inglewood, California","Jackie Robinson","Right","1955","05","20",182.88,182.88,94.5
"Monsignor McClancy in Jamaica, New York","Jamal Robinson","Right","1973","12","27",182.88,213.36,95.4
"Murrah in Jackson, Mississippi","James Robinson","Right","1970","08","31",182.88,60.96,81
"Needham Broughton in Raleigh, North Carolina","Jerome Robinson","Right","1997","02","22",182.88,152.4,85.5
"Airline in Bossier City, Louisiana","Larry Robinson","Right","1968","01","11",182.88,91.44,81
"Chalmette in Chalmette, Louisiana","Mitchell Robinson","Right","1998","04","01",213.36,30.48,108
"Rainier Beach in Seattle, Washington","Nate Robinson","Right","1984","05","31",152.4,274.32,81
"Woodlawn in Birmingham, Alabama","Oliver Robinson","Right","1960","03","13",182.88,121.92,81
"Oak Hill Academy in Mouth of Wilson, Virginia","Ronnie Robinson","Right","1951","03","09",182.88,243.84,90
"Cambridge Rindge & Latin in Cambridge, Massachusetts","Rumeal Robinson","Right","1966","11","13",182.88,60.96,87.75
"Jefferson in Los Angeles, California","Samuel Robinson","Right","1948","01","01",182.88,213.36,85.5
"Brewster Academy in Wolfeboro, New Hampshire","Thomas Robinson","Right","1991","03","17",182.88,304.8,106.65
"William M. Raines in Jacksonville, Florida","Truck Robinson","Right","1951","10","04",182.88,213.36,101.25
"Country Day in Greensboro, North Carolina","Wayne Robinson","Right","1958","04","19",182.88,243.84,97.65
"Laurel Highlands in Uniontown, Pennsylvania","Wilbert Robinson","Right","1949","12","25",182.88,60.96,78.75
"Wendell Phillips in Chicago, Illinois","Bill Robinzine","Left","1953","01","20",182.88,213.36,103.5
"Springfield in Springfield, Illinois","Dave Robisch","Left","1949","12","22",182.88,304.8,105.75
"Hilo in Hilo, Hawaii","Red Rocha","Right","1923","09","18",182.88,274.32,83.25
"La Salle Academy in New York, New York","John Roche","Right","1949","09","26",182.88,91.44,76.5
"Huntington Park in Huntington Park, California","Gene Rock","Right","1921","11","04",152.4,274.32,69.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Jack Rocker","Right","1922","08","12",182.88,152.4,83.25
"Northeast in Philadelphia, Pennsylvania","Guy Rodgers","Left","1935","09","01",182.88,0,83.25
"South Oak Cliff in Dallas, Texas","Dennis Rodman","Right","1961","05","13",182.88,213.36,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Sergio Rodriguez","Right","1986","06","12",182.88,91.44,79.2
"Atlantic City in Atlantic City, New Jersey","Lou Roe","Right","1972","07","14",182.88,213.36,99
"Northwestern in Detroit, Michigan","Carlos Rogers","Right","1971","02","06",182.88,335.28,99
"Sumner in St. Louis, Missouri","Harry Rogers","Right","1950","12","31",182.88,213.36,87.75
"LaQuinta in Westminster, California","Johnny Rogers","Right","1963","12","30",182.88,304.8,101.25
"Sumner in St. Louis, Missouri","Marshall Rogers","Right","1953","08","27",182.88,30.48,85.5
"Hillside in Durham, North Carolina","Rodney Rogers","Left","1971","06","20",182.88,213.36,105.75
"Linden in Linden, Alabama","Roy Rogers","Right","1973","08","19",182.88,304.8,105.75
"Madison in Dallas, Texas","Willie Rogers","Right","1945","09","11",182.88,91.44,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Al Roges","Right","1930","10","25",182.88,121.92,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Ken Rohloff","Right","1939","04","18",182.88,0,87.75
"Wickliffe in Wickliffe, Kentucky","Kenny Rollins","Right","1923","09","14",182.88,0,75.6
"Wickliffe in Wickliffe, Kentucky","Phil Rollins","Right","1934","01","19",182.88,60.96,83.25
"Crisp County in Cordele, Georgia","Tree Rollins","Right","1955","06","16",213.36,30.48,105.75
"Saint Pius X in Downey, California","Lorenzo Romar","Right","1958","11","13",182.88,30.48,78.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Rajon Rondo","Right","1986","02","22",182.88,30.48,83.7
"Nettleton in Nettleton, Arkansas","Jerry Rook","Right","1943","10","27",182.88,152.4,98.55
"Fontana in Fontana, California","Sean Rooks","Right","1969","09","09",182.88,304.8,112.5
"Simeon Career Academy in Chicago, Illinois","Derrick Rose","Right","1988","10","04",182.88,91.44,90
"Southwestern in Detroit, Michigan","Jalen Rose","Left","1973","01","30",182.88,243.84,94.5
"Overbrook in Philadelphia, Pennsylvania","Malik Rose","Right","1974","11","23",182.88,213.36,112.5
"Cardinal Mooney in Rochester, New York","Rob Rose","Right","1964","12","27",182.88,152.4,81
"South Philadelphia in Philadelphia, Pennsylvania","Petey Rosenberg","Right","1918","04","07",152.4,304.8,74.25
"Staunton Military Academy in Staunton, Virginia","Lennie Rosenbluth","Right","1933","01","22",182.88,121.92,85.5
"Boys in Brooklyn, New York","Hank Rosenstein","Right","1920","06","16",182.88,121.92,83.25
"McBride in St. Louis, Missouri","Dick Rosenthal","Right","1930","01","20",182.88,152.4,92.25
"Justin F. Kimball in Dallas, Texas","Quinton Ross","Right","1981","04","30",182.88,182.88,87.75
"Jefferson in Portland, Oregon","Terrence Ross","Right","1991","02","05",182.88,213.36,92.7
"Karns in Knoxville, Tennessee","Doug Roth","Right","1967","08","24",182.88,335.28,114.75
"Brecksville in Brecksville, Ohio","Scott Roth","Left","1963","06","03",182.88,243.84,95.4
"Roosevelt in The Bronx, New York","Irv Rothenberg","Right","1921","12","31",182.88,213.36,96.75
"Tuley in Chicago, Illinois","Mickey Rottner","Right","1919","03","23",152.4,304.8,81
"Chadsey in Detroit, Michigan","Dan Roundfield","Right","1953","05","26",182.88,243.84,92.25
"East Alton-Wood River in Wood River, Illinois","Giff Roux","Right","1923","06","28",182.88,152.4,87.75
"Beaver Falls in Beaver Falls, Pennsylvania","Ron Rowan","Right","1962","04","23",182.88,152.4,90
"John C. Fremont in Los Angeles, California","Curtis Rowe","Right","1949","07","02",182.88,213.36,101.25
"Syosset in Syosset, New York","Jim Rowinski","Right","1961","01","04",182.88,243.84,112.5
"Brentwood in Brentwood, New York","Derrick Rowland","Right","1959","06","21",182.88,152.4,87.75
"Columbia in Columbia, North Carolina","Brian Rowsom","Right","1965","10","23",182.88,274.32,99
"Garfield in Seattle, Washington","Brandon Roy","Right","1984","07","23",182.88,182.88,96.75
"Saint Augustine in New Orleans, Louisiana","Donald Royal","Right","1966","05","22",182.88,243.84,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Reggie Royals","Right","1950","09","18",182.88,304.8,90
"Bowling Green in Bowling Green, Indiana","Bob Royer","Right","1927","10","15",152.4,304.8,69.75
"Southeast in Bradenton, Florida","Clifford Rozier","Right","1972","10","31",182.88,335.28,110.25
"Hargrave Military Academy in Chatham, Virginia","Terry Rozier","Right","1994","03","17",182.88,30.48,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Ricky Rubio","Right","1990","10","21",182.88,121.92,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Guy Rucker","Right","1977","07","27",182.88,335.28,119.25
"Eastman in Hollister, North Carolina","Delaney Rudd","Right","1962","11","08",182.88,60.96,81
"DeRidder in DeRidder, Louisiana","John Rudd","Right","1955","08","07",182.88,213.36,103.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Damjan Rudez","Right","1986","06","17",182.88,304.8,102.6
"Santa Maria in Santa Maria, California","John Rudometkin","Right","1940","06","06",182.88,182.88,92.25
"Cherry Creek in Englewood, Colorado","Michael Ruffin","Right","1977","01","21",182.88,274.32,110.7
"Bennett in Buffalo, New York","Trevor Ruffin","Right","1970","09","26",182.88,30.48,83.25
"Earl Warren in Santa Monica, California","Paul Ruffner","Right","1948","10","15",182.88,304.8,101.25
"Princeton in Princeton, Illinois","Joe Ruklick","Right","1938","08","03",182.88,274.32,99
"Sachem in Lake Ronkonkoma, New York","Jeff Ruland","Right","1958","12","16",182.88,304.8,108
"Riverside Polytech in Riverside, California","Bob Rule","Left","1944","06","29",182.88,274.32,99
"John Bartram in Philadelphia, Pennsylvania","Jerry Rullo","Right","1923","06","23",152.4,304.8,74.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Stefano Rusconi","Right","1968","10","02",182.88,274.32,108
"Mount Zion Christian Academy in Durham, North Carolina","Brandon Rush","Right","1985","07","07",182.88,182.88,99
"Pembroke Hill in Kansas City, Missouri","Kareem Rush","Left","1980","10","30",182.88,182.88,96.75
"McClymonds in Oakland, California","Bill Russell","Left","1934","02","12",182.88,304.8,96.75
"San Bernardino in San Bernardino, California","Bryon Russell","Right","1970","12","31",182.88,213.36,101.25
"Central in Pontiac, Michigan","Campy Russell","Right","1952","01","12",182.88,243.84,96.75
"Carver in Chicago, Illinois","Cazzie Russell","Right","1944","06","07",182.88,152.4,98.1
"Montverde Academy in Montverde, Florida","D'Angelo Russell","Left","1996","02","23",182.88,152.4,89.1
"Oak Hill Academy in Mouth of Wilson, Virginia","Frank Russell","Right","1949","04","17",182.88,91.44,81
"Wyandotte in Kansas City, Kansas","Pierre Russell","Right","1949","12","13",182.88,121.92,85.5
"I.M. Terrell in Fort Worth, Texas","Rubin Russell","Right","1944","11","07",182.88,60.96,81
"Central in Pontiac, Michigan","Walker Russell","Right","1960","10","26",182.88,152.4,87.75
"Rochester in Rochester, Michigan","Walker Russell","Right","1982","10","06",182.88,0,76.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Arvydas Sabonis","Right","1964","12","19",213.36,91.44,125.55
"Oak Hill Academy in Mouth of Wilson, Virginia","Domantas Sabonis","Left","1996","05","03",182.88,335.28,108
"Handsworth Secondary School in Vancouver, Canada","Robert Sacre","Right","1989","06","06",213.36,0,121.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Ed Sadowski","Right","1917","07","11",182.88,152.4,108
"Laramie in Laramie, Wyoming","Kenny Sailors","Right","1921","01","14",152.4,304.8,78.75
"Canarsie in Brooklyn, New York","John Salley","Right","1964","05","16",182.88,335.28,103.5
"Plymouth-Whitemarsh in Plymouth Meeting, Pennsylvania","John Salmons","Right","1979","12","12",182.88,213.36,94.5
"Wheeling Central in Wheeling, West Virginia","Al Salvadori","Right","1945","05","06",182.88,274.32,99
"Seton-La Salle in Pittsburgh, Pennsylvania","Kevin Salvadori","Right","1970","12","30",213.36,0,103.95
"Oak Hill Academy in Mouth of Wilson, Virginia","Soumaila Samake","Right","1978","03","18",213.36,0,103.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Cheikh Samb","Right","1984","10","22",213.36,30.48,110.25
"Madison Prep in Baton Rouge, Louisiana","Brandon Sampson","Right","1997","05","01",182.88,152.4,82.8
"Brewster Academy in Wolfeboro, New Hampshire","JaKarr Sampson","Right","1993","03","20",182.88,274.32,96.3
"Mater Dei in Santa Ana, California","Jamal Sampson","Right","1983","05","15",182.88,335.28,105.75
"Harrisonburg in Harrisonburg, Virginia","Ralph Sampson","Right","1960","07","07",213.36,121.92,102.6
"Saint Benedict's Preparatory School in Newark, New Jersey","Samardo Samuels","Right","1989","01","09",182.88,274.32,117
"EEM No. 3 in Bahia Blanca, Argentina","Pepe Sanchez","Left","1977","05","08",182.88,121.92,87.75
"Baton Rouge in Baton Rouge, Louisiana","Al Sanders","Right","1950","01","01",182.88,213.36,108
"Stivers in Dayton, Ohio","Frankie Sanders","Right","1957","01","23",182.88,182.88,90
"T.W. Josey in Augusta, Georgia","Jeff Sanders","Right","1966","01","14",182.88,243.84,101.25
"Port St. Lucie in Port St. Lucie, Florida","Larry Sanders","Right","1988","11","21",182.88,335.28,105.75
"Liberal in Liberal, Kansas","Melvin Sanders","Right","1981","01","03",182.88,152.4,94.5
"DeRidder in DeRidder, Louisiana","Mike Sanders","Right","1960","05","07",182.88,182.88,94.5
"Seward Park in New York, New York","Tom Sanders","Right","1938","11","08",182.88,182.88,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Ron Sanford","Right","1946","06","11",182.88,274.32,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Daniel Santiago","Right","1976","06","24",213.36,30.48,115.2
"Oak Hill Academy in Mouth of Wilson, Virginia","Bob Santini","Right","1935","02","17",182.88,152.4,85.5
"Ardenne in Kingston, Jamaica","Wayne Sappleton","Right","1960","11","17",182.88,274.32,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Dario Saric","Right","1994","04","08",182.88,304.8,100.35
"Justin F. Kimball in Dallas, Texas","Jason Sasser","Right","1974","01","13",182.88,213.36,101.25
"Justin F. Kimball in Dallas, Texas","Jeryl Sasser","Right","1979","02","13",182.88,182.88,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Tomas Satoransky","Right","1991","10","30",182.88,213.36,94.5
"Rice in New York, New York","Kenny Satterfield","Right","1981","04","10",182.88,60.96,83.7
"Seton Hall Preparatory School in West Orange, New Jersey","Pep Saul","Right","1924","02","16",182.88,60.96,83.25
"Compton Union in Los Angeles, California","Woody Sauldsberry","Right","1934","07","11",182.88,213.36,99
"Oak Hill Academy in Mouth of Wilson, Virginia","Glynn Saulters","Right","1945","02","10",182.88,60.96,78.75
"Mohawk in Columbus, Ohio","Fred Saunders","Right","1951","06","13",182.88,213.36,94.5
"Manlius in Manlius, New York","Don Savage","Right","1928","04","09",182.88,91.44,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Predrag Savovic","Right","1976","05","21",182.88,182.88,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Alan Sawyer","Right","1928","01","01",182.88,152.4,87.75
"Enumclaw in Enumclaw, Washington","Brian Scalabrine","Right","1978","03","18",182.88,274.32,108.45
"Racine Lutheran in Racine, Wisconsin","Alex Scales","Right","1978","07","03",182.88,121.92,83.25
"David W. Carter in Dallas, Texas","DeWayne Scales","Right","1958","12","28",182.88,243.84,93.6
"Wausau in Wausau, Wisconsin","Frank Schade","Right","1950","01","22",182.88,30.48,76.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Ben Schadler","Right","1924","03","09",182.88,0,83.25
"Central in Fort Wayne, Indiana","Herm Schaefer","Right","1918","12","20",182.88,0,78.75
"Holy Cross in Flushing, New York","Billy Schaeffer","Right","1951","12","11",182.88,152.4,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Bob Schafer","Right","1948","07","26",182.88,91.44,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Ben Scharnus","Right","1917","12","11",182.88,60.96,77.85
"Soldan in St. Louis, Missouri","Marv Schatzman","Right","1927","02","18",182.88,152.4,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Fred Schaus","Right","1925","06","30",182.88,152.4,92.25
"Jamesville-DeWitt in DeWitt, New York","Danny Schayes","Right","1959","05","10",182.88,335.28,105.75
"DeWitt Clinton in Bronx, New York","Dolph Schayes","Right","1928","05","19",182.88,243.84,99
"Tilden in Brooklyn, New York","Ossie Schectman","Right","1919","03","30",182.88,0,78.75
"Forest Hills Northern in Grand Rapids, Michigan","Steve Scheffler","Left","1967","09","03",182.88,274.32,112.5
"Saint Joseph in Saint Joseph, Michigan","Tom Scheffler","Right","1954","10","27",182.88,335.28,108
"North in Evansville, Indiana","Dave Schellhase","Right","1944","10","14",182.88,91.44,92.25
"Lake Ginninderra College in Canberra, Australia","Luke Schenscher","Right","1982","12","31",213.36,30.48,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Herb Scherer","Right","1928","12","21",182.88,274.32,95.4
"Brandon in Brandon, Florida","Dwayne Schintzius","Right","1968","10","14",213.36,30.48,117
"George Washington in Denver, Colorado","Dale Schlueter","Right","1945","11","12",182.88,304.8,101.25
"Sublette in Sublette, Kansas","Otto Schnellbacher","Right","1923","04","15",182.88,121.92,83.25
"Sandusky in Sandusky, Ohio","Dick Schnittker","Right","1928","05","27",182.88,152.4,90
"Wesclin in Trenton, Illinois","Russ Schoene","Right","1960","04","16",182.88,304.8,94.5
"Stephen Decatur in Decatur, Illinois","Dave Scholz","Right","1948","04","12",182.88,243.84,99
"Calumet in Gary, Indiana","Milt Schoon","Right","1922","02","25",182.88,213.36,103.5
"Centralia in Centralia, Washington","Detlef Schrempf","Right","1963","01","21",182.88,274.32,96.3
"Oak Hill Academy in Mouth of Wilson, Virginia","Dennis Schroder","Right","1993","09","15",182.88,30.48,77.4
"Oak Hill Academy in Mouth of Wilson, Virginia","Howie Schultz","Right","1922","07","03",182.88,182.88,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Dick Schulz","Right","1917","01","03",182.88,60.96,86.4
"Oak Hill Academy in Mouth of Wilson, Virginia","Roger Schurig","Right","1942","04","03",182.88,91.44,83.25
"Waterloo in Waterloo, New York","John Schweitz","Right","1960","04","19",182.88,182.88,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Luis Scola","Right","1980","04","30",182.88,274.32,108
"Galileo in San Francisco, California","Fred Scolari","Right","1922","03","01",152.4,304.8,81
"Bradley in Cleveland, Tennessee","Alvin Scott","Right","1955","09","14",182.88,213.36,83.25
"Everett in Lansing, Michigan","Brent Scott","Right","1971","06","15",182.88,304.8,112.5
"Morningside in Inglewood, California","Byron Scott","Right","1961","03","28",182.88,91.44,87.75
"Laurinburg Institute in Laurinburg, North Carolina","Charlie Scott","Right","1948","12","15",182.88,152.4,78.75
"Flint Hill School in Oakton, Virginia","Dennis Scott","Right","1968","09","05",182.88,243.84,103.05
"Eastside in Paterson, New Jersey","James Scott","Right","1972","06","06",182.88,182.88,81
"Deep Creek in Chesapeake, Virginia","Mike Scott","Right","1988","07","16",182.88,243.84,106.65
"West Philadelphia in Philadelphia, Pennsylvania","Ray Scott","Right","1938","07","12",182.88,274.32,96.75
"All Hallows in Bronx, New York","Shawnelle Scott","Right","1972","06","16",182.88,304.8,112.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Willie Scott","Right","1947","05","22",182.88,152.4,94.5
"Jordan in Los Angeles, California","Paul Scranton","Right","1944","04","30",182.88,152.4,103.5
"Alexander Hamilton in Brooklyn, New York","Carey Scurry","Right","1962","12","04",182.88,213.36,84.6
"Booker T. Washington in New Orleans, Louisiana","Bruce Seals","Right","1953","06","18",182.88,243.84,94.5
"McLain in Tulsa, Oklahoma","Shea Seals","Right","1975","08","26",182.88,152.4,94.5
"Saint Nicholas of Tolentine in Bronx, New York","Malik Sealy","Right","1970","02","01",182.88,243.84,85.5
"Power Memorial in New York, New York","Ed Searcy","Right","1952","04","17",182.88,182.88,94.5
"Watsonville Union in Watsonville, California","Kenny Sears","Right","1933","08","17",182.88,274.32,89.1
"Oak Hill Academy in Mouth of Wilson, Virginia","Wayne See","Right","1923","11","03",182.88,91.44,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Thabo Sefolosha","Right","1984","05","02",182.88,213.36,99
"American School in Athens, Greece","Rony Seikaly","Right","1965","05","10",182.88,335.28,103.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Glen Selbo","Right","1926","03","29",182.88,91.44,88.2
"Lake Clifton in Baltimore, Maryland","Josh Selby","Right","1991","03","27",182.88,60.96,82.35
"Tilton School in Tilton, New Hampshire","Wayne Selden","Right","1994","09","30",182.88,152.4,103.5
"Warrensville Heights in Warrensville Heights, Ohio","Brad Sellers","Right","1962","12","17",213.36,0,94.5
"Thomas Jefferson in Brooklyn, New York","Phil Sellers","Right","1953","11","20",182.88,121.92,87.75
"Humboldt in Saint Paul, Minnesota","Rollie Seltz","Right","1924","01","25",152.4,304.8,74.25
"Beaumont in St. Louis, Missouri","Lester Selvage","Right","1943","03","07",182.88,30.48,78.75
"Corbin in Corbin, Kentucky","Frank Selvy","Right","1932","11","09",182.88,91.44,81
"Roosevelt in Los Angeles, California","Jim Seminoff","Right","1922","09","01",182.88,60.96,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Mouhamed Sene","Right","1986","05","12",182.88,335.28,103.5
"Mahanoy City in Mahanoy City, Pennsylvania","George Senesky","Right","1922","04","04",182.88,60.96,80.55
"Oak Hill Academy in Mouth of Wilson, Virginia","Kevin Seraphin","Right","1989","12","07",182.88,274.32,128.25
"Willowridge in Houston, Texas","Ansu Sesay","Left","1976","07","29",182.88,274.32,101.25
"Myrtle Beach in Myrtle Beach, South Carolina","Ramon Sessions","Right","1986","04","11",182.88,91.44,85.5
"Samil Commercial in Suwon, Republic of Korea","Ha Seung-Jin","Right","1985","08","04",213.36,91.44,137.25
"Booker T. Washington in Pensacola, Florida","Tom Sewell","Right","1962","03","11",182.88,152.4,83.25
"Pebblebrook HS in Mableton, Georgia","Collin Sexton","Right","1999","01","04",182.88,60.96,85.5
"Woodward in Toledo, Ohio","Paul Seymour","Right","1928","01","30",182.88,30.48,81
"James Monroe in Bronx, New York","Nick Shaback","Right","1918","09","10",152.4,335.28,81
"Burroughs in Burbank, California","Lynn Shackelford","Right","1947","08","27",182.88,152.4,85.5
"Kinston in Kinston, North Carolina","Charles Shackleford","Right","1966","04","22",182.88,304.8,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Carl Shaeffer","Right","1924","10","25",182.88,91.44,83.25
"Baldwin in Baldwin, Pennsylvania","Lee Shaffer","Right","1939","02","23",182.88,213.36,99
"Friends' Central School in Wynnewood, Pennsylvania","Mustafa Shakur","Right","1984","08","18",182.88,91.44,85.5
"Park Hill HS in Kansas City, Missouri","Landry Shamet","Right","1997","03","13",182.88,152.4,84.6
"La Salle Academy in New York, New York","God Shammgod","Right","1976","04","29",182.88,0,76.05
"Pawtucket in Pawtucket, Rhode Island","Earl Shannon","Right","1921","11","23",152.4,335.28,76.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Howie Shannon","Right","1923","06","10",182.88,60.96,78.75
"Western Hills in Cincinnati, Ohio","Chuck Share","Right","1927","03","14",182.88,335.28,105.75
"Porterville in Porterville, California","Bill Sharman","Right","1926","05","25",182.88,30.48,78.75
"A.H. Parker in Birmingham, Alabama","Walter Sharpe","Right","1986","07","18",182.88,274.32,110.25
"Brother Rice in Birmingham, Michigan","John Shasky","Right","1964","07","31",182.88,335.28,105.75
