"highSchool","name","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo"
"Kraljevo in Kraljevo, Serbia","Milos Babic","Right","1968","11","23",213.36,0,108
"St. John's Preparatory School in Brooklyn, New York","Johnny Bach","Right","1924","07","10",182.88,60.96,81
"Oak Hill Academy in Mouth of Wilson, Virginia","Dwayne Bacon","Right","1995","08","30",182.88,213.36,99.45
"Male in Louisville, Kentucky","Henry Bacon","Right","1948","07","05",182.88,91.44,92.25
"Moon in Coraopolis, Pennsylvania","Jim Baechtold","Right","1927","12","09",182.88,121.92,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Dalibor Bagaric","Right","1980","02","07",213.36,30.48,114.75
"Warren Harding in Bridgeport, Connecticut","John Bagley","Right","1960","04","23",182.88,0,83.25
"Sierra Canyon in Chatsworth, California","Marvin Bagley III","Left","1999","03","14",182.88,335.28,105.3
"Jackson-Olin in Birmingham, Alabama","Carl Bailey","Right","1958","04","23",213.36,0,94.5
"Burgess in El Paso, Texas","Gus Bailey","Right","1951","02","18",182.88,152.4,83.25
"Xaverian in Westwood, Massachusetts","James Bailey","Right","1957","05","21",182.88,274.32,99
"Bladensburg in Bladensburg, Maryland","Thurl Bailey","Right","1961","04","07",182.88,335.28,96.75
"Loyola in Los Angeles, California","Toby Bailey","Right","1975","11","19",182.88,182.88,95.85
"Australian Institute of Sport in Canberra, Australia","Cameron Bairstow","Right","1990","12","07",182.88,274.32,112.5
"Olney in Philadelphia, Pennsylvania","Jimmie Baker","Right","1953","12","25",182.88,274.32,99
"Paul Laurence Dunbar in Dayton, Ohio","LaMark Baker","Right","1969","11","11",182.88,30.48,78.75
"Madison in Madison, Illinois","Maurice Baker","Right","1979","07","28",182.88,30.48,78.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Norm Baker","Right","1923","02","17",182.88,0,81
"Scott City in Scott City, Kansas","Ron Baker","Right","1993","03","30",182.88,121.92,99
"Old Saybrook in Old Saybrook, Connecticut","Vin Baker","Right","1971","11","23",182.88,335.28,104.4
"St. Joseph in Metuchen, New Jersey","Wade Baldwin","Right","1996","03","29",182.88,121.92,90
"Laurinburg Institute in Laurinburg, North Carolina","Renaldo Balkman","Right","1984","07","14",182.88,243.84,93.6
"South in Worcester, Massachusetts","Cedric Ball","Right","1968","04","16",182.88,243.84,94.5
"Chino Hills in Chino Hills, California","Lonzo Ball","Right","1997","10","27",182.88,182.88,85.5
